(0,0,0),255,10,20,11,8,12,45,16,16,11,10,9,16,7,18,19,17,10,4,11,12,14,9
(0,0,1),255,11,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
(0,0,2),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(0,0,3),255,15,8,7,13,32,33,16,17,11,13,17,10,11,10,21,13,8,9,10,19,15,17
(0,1,0),255,11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
(0,1,1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(0,1,2),255,8,9,7,12,10,32,12,9,9,12,10,7,13,8,20,10,10,12,15,18,24,12
(0,1,3),255,9,8,15,10,18,35,12,9,12,8,8,12,6,12,17,19,12,10,11,15,10,10
(0,2,0),255,12,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
(0,2,1),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(0,2,2),255,10,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
(0,2,3),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
(0,3,0),255,7,10,12,11,20,32,9,21,14,12,20,10,11,6,21,10,11,5,8,14,9,15
(0,3,1),255,8,3,16,10,17,30,11,16,15,12,12,10,17,8,14,11,8,9,11,11,17,14
(0,3,2),255,9,4,11,8,11,20,15,16,8,12,10,9,11,13,16,11,11,11,5,17,17,15
(0,3,3),255,5,13,11,5,17,44,14,14,9,13,17,8,15,11,13,13,12,8,16,17,9,13
