(0,0,0),00,1097
01,17
02,11
03,3
04,7
05,17
06,36
07,6
08,10
09,9
10,7
11,9
12,12
13,15
14,8
15,13
16,21
17,14
18,9
19,12
20,17
21,14
22,16
(0,0,1),00,1164
01,10
02,16
03,10
04,7
05,20
06,36
07,13
08,12
09,22
10,18
11,16
12,12
13,6
14,8
15,19
16,15
17,11
18,9
19,11
20,16
21,21
22,8
(0,0,2),00,1083
01,11
02,19
03,12
04,19
05,20
06,47
07,10
08,15
09,10
10,7
11,16
12,11
13,19
14,7
15,17
16,10
17,13
18,14
19,11
20,18
21,13
22,13
(0,0,3),00,1086
01,7
02,12
03,9
04,5
05,18
06,40
07,12
08,17
09,10
10,13
11,18
12,11
13,16
14,11
15,13
16,10
17,7
18,7
19,13
20,17
21,13
22,19
(0,1,0),00,1080
01,9
02,15
03,12
04,4
05,17
06,47
07,16
08,15
09,9
10,12
11,11
12,10
13,12
14,12
15,6
16,13
17,8
18,13
19,13
20,14
21,10
22,10
(0,1,1),00,1143
01,12
02,10
03,8
04,14
05,22
06,46
07,9
08,14
09,14
10,16
11,10
12,13
13,10
14,2
15,14
16,15
17,12
18,11
19,11
20,17
21,13
22,13
(0,1,2),00,1068
01,11
02,10
03,14
04,10
05,18
06,43
07,23
08,18
09,12
10,10
11,19
12,5
13,11
14,8
15,11
16,15
17,10
18,8
19,14
20,18
21,15
22,20
(0,1,3),00,1115
01,11
02,10
03,8
04,7
05,15
06,46
07,14
08,13
09,9
10,7
11,7
12,11
13,9
14,13
15,14
16,14
17,9
18,10
19,16
20,23
21,18
22,11
(0,2,0),00,1123
01,13
02,8
03,11
04,15
05,18
06,41
07,13
08,13
09,11
10,16
11,6
12,14
13,9
14,7
15,12
16,7
17,14
18,7
19,8
20,10
21,19
22,15
(0,2,1),00,1036
01,6
02,12
03,11
04,19
05,11
06,37
07,12
08,17
09,20
10,4
11,18
12,5
13,10
14,10
15,14
16,18
17,11
18,14
19,11
20,12
21,15
22,13
(0,2,2),00,1104
01,10
02,13
03,9
04,13
05,23
06,28
07,16
08,20
09,10
10,12
11,8
12,11
13,6
14,7
15,16
16,11
17,6
18,7
19,12
20,16
21,12
22,12
(0,2,3),00,1074
01,11
02,11
03,3
04,13
05,12
06,23
07,13
08,17
09,4
10,10
11,12
12,8
13,9
14,8
15,14
16,14
17,9
18,14
19,11
20,22
21,13
22,14
(0,3,0),00,1081
01,14
02,10
03,8
04,8
05,17
06,34
07,20
08,19
09,9
10,12
11,13
12,8
13,13
14,6
15,12
16,12
17,11
18,12
19,11
20,9
21,22
22,16
(0,3,1),00,1051
01,8
02,14
03,9
04,6
05,20
06,42
07,9
08,23
09,15
10,8
11,8
12,12
13,6
14,7
15,7
16,18
17,12
18,11
19,13
20,7
21,17
22,15
(0,3,2),00,1063
01,9
02,17
03,18
04,7
05,14
06,32
07,14
08,15
09,6
10,11
11,9
12,14
13,8
14,13
15,11
16,20
17,9
18,7
19,10
20,20
21,16
22,15
(0,3,3),00,1082
01,11
02,10
03,16
04,11
05,18
06,37
07,8
08,18
09,15
10,8
11,17
